SECCION;SKU;NOMBRE;PRECIO;COSTO;STOCK_INICIAL;ES_RECETA;UNIDAD_MEDIDA;PRECIO_POR_KG;CATEGORIA;PROVEEDOR;PROVEEDOR_TELEFONO;DESCRIPCION;IMAGEN_URL
PRODUCTO;LYK-001-BOLLO;Bollo;2000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-002-BUTIFARRA;Butifarra;2000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-003-CARNE;Carne;6000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-004-CHORIZO;Chorizo;2000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-005-GRATINADO-MEDIANO;Gratinado Mediano;8000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-006-GRATINADO-PERSONAL;Gratinado Personal;6000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-007-GRATINADO-SUPER;Gratinado Super;12000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-008-JAMON;Jamon;2000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-009-MAIZ-TIERNO;Maiz Tierno;5000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-010-MENU;Menú;2000;0;0;NO;unidad;;Adicionales;;;🛵 A Domicilio | 🏪 En Sitio | 📦 Recoger - PRINCIPAL VILLAS DE SAN PABLO Barranquilla (Atlantico) - Seleccionar... Seleccionar... 0 Indicaciones - 🛵 A Domicilio | 🏪 En Sitio | 📦 Recoger - Para iniciar el proceso verificaremos tu número de teléfono móvil mediante un código de seguridad. - Actualizar tipo de cliente;https://app.sivipos.co/img/productos/20/1252.jpeg?v=5
PRODUCTO;LYK-011-POLLO;Pollo;6000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-012-PORCION-DE-PAPAS;Porcion De Papas;7000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-013-RANCHERA;Ranchera;5000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-014-SALCHICHA;Salchicha;4000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-015-SUIZA;Suiza;9000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-016-TOCINETA;Tocineta;3000;0;0;NO;unidad;;Adicionales;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-017-CARNE-300-GRS;Carne 300 Grs;32000;0;0;NO;unidad;;Asados;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-018-CARNE-400-GRS;Carne 400 Grs;36000;0;0;NO;unidad;;Asados;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-019-CERDO-300-GRS;Cerdo 300 Grs;28000;0;0;NO;unidad;;Asados;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-020-CERDO-400-GRS;Cerdo 400 Grs;32000;0;0;NO;unidad;;Asados;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-021-MENU;Menú;28000;0;0;NO;unidad;;Asados;;;🛵 A Domicilio | 🏪 En Sitio | 📦 Recoger - PRINCIPAL VILLAS DE SAN PABLO Barranquilla (Atlantico) - Seleccionar... Seleccionar... 0 Indicaciones - 🛵 A Domicilio | 🏪 En Sitio | 📦 Recoger - Para iniciar el proceso verificaremos tu número de teléfono móvil mediante un código de seguridad. - Actualizar tipo de cliente;https://app.sivipos.co/img/productos/20/1252.jpeg?v=5
PRODUCTO;LYK-022-PECHUGA-300-GRS;Pechuga 300 Grs;28000;0;0;NO;unidad;;Asados;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-023-PECHUGA-400-GRS;Pechuga 400 Grs;32000;0;0;NO;unidad;;Asados;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-024-AGUA-CON-GAS;Agua Con Gas;3000;0;0;NO;unidad;;Bebidas;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-025-AGUA-DE-MANZANA-PERSON;Agua De Manzana Personal;4000;0;0;NO;unidad;;Bebidas;;;;https://app.sivipos.co/img/productos/20/1284.jpeg?v=5
PRODUCTO;LYK-026-COCA-COLA-1-0;Coca Cola 1.0;8000;0;0;NO;unidad;;Bebidas;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-027-COCA-COLA-1-5L;Coca Cola 1.5l;9000;0;0;NO;unidad;;Bebidas;;;;https://app.sivipos.co/img/productos/20/1064.jpeg?v=5
PRODUCTO;LYK-028-COCA-COLA-2-5;Coca Cola 2.5;12000;0;0;NO;unidad;;Bebidas;;;;https://app.sivipos.co/img/productos/default.jpg
PRODUCTO;LYK-029-COCA-COLA-PERSONAL;Coca Cola Personal;4000;0;0;NO;unidad;;Bebidas;;;;https://app.sivipos.co/img/productos/20/1063.jpeg?v=5
PRODUCTO;LYK-030-DEL-VALLE-1-5;Del Valle 1.5;9000;0;0;NO;unidad;;Bebidas;;;;https://app.sivipos.co/img/productos/20/1287.jpeg?v=5
PRODUCTO;LYK-031-JUGO-DE-COROZO;Jugo De Corozo;4000;0;0;NO;unidad;;Bebidas;;;;https://app.sivipos.co/img/productos/20/1253.jpeg?v=5
PRODUCTO;LYK-032-JUGO-HIT-LITRO;Jugo Hit Litro;7000;0;0;NO;unidad;;Bebidas;;;;https://app.sivipos.co/img/productos/20/1066.jpeg?v=5
